   1.76123   1   1   1 -0.1843668955388556E+002 -0.1843668955388555E+002  0.3687337910777110E+002
#  0.000000E+000   0.184367E+002   0.184367E+002
#  0.184367E+002  -0.189008E-014   0.184367E+002
#  0.184367E+002   0.184367E+002   0.189008E-014
   1.81536   2   2   2 -0.1779316612156714E+002 -0.1779316612156714E+002  0.3558633224313429E+002
#  0.189008E-014   0.177932E+002   0.177932E+002
#  0.177932E+002   0.567024E-014   0.177932E+002
#  0.177932E+002   0.177932E+002   0.945041E-015
   1.86949   3   3   3 -0.1675620254522448E+002 -0.1675620254522446E+002  0.3351240509044895E+002
#  0.496146E-014   0.167562E+002   0.167562E+002
#  0.167562E+002   0.945041E-015   0.167562E+002
#  0.167562E+002   0.167562E+002   0.330764E-014
   1.92361   4   4   4 -0.1537805914741691E+002 -0.1537805914741691E+002  0.3075611829483383E+002
#  0.357344E-014   0.153781E+002   0.153781E+002
#  0.153781E+002   0.487287E-014   0.153781E+002
#  0.153781E+002   0.153781E+002   0.395736E-014
   1.97774   5   5   5 -0.1372923869187241E+002 -0.1372923869187240E+002  0.2745847738374482E+002
